Incidence,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
1,0.00164,-0.0221,0.856,0.699,-0.0757,-0.673,-0.637,-0.584,-0.751,1.8,-0.699,-0.163,-0.307,-0.687,-1.09,NA
1,-0.107,-0.0501,0.419,0.371,0.365,-0.541,-0.597,NA,0.355,0.688,-0.647,0.0804,0.0689,-0.255,0.121,NA
1,-0.0239,-0.102,0.913,0.789,0.135,-0.927,-0.897,-0.937,-0.226,-0.209,-1.31,-0.136,0.175,-1.06,-0.195,2.23
1,-0.337,-0.164,0.414,0.392,-0.416,-1.05,-1.12,0.039,-1.29,0.339,-0.87,-0.425,1.1,-0.196,-0.157,0.946
1,0.14,0.187,0.78,0.692,0.144,-1.27,-1.26,NA,0.138,0.968,-0.715,-0.0125,-0.669,0.387,0.374,-0.281
1,-0.0637,0.0465,0.415,0.389,0.379,-0.593,-0.677,-0.00648,0.236,-0.406,-0.549,-0.289,0.126,0.155,0.0162,0.587
1,-0.0909,0.0451,0.762,0.662,0.475,-1.24,-1.22,NA,-0.0434,0.303,-1.05,-0.259,-0.153,0.0394,0.763,0.682
1,0.0626,0.171,0.271,0.223,NA,-0.707,-0.753,NA,1.29,-1.15,2.33,0.436,-0.319,0.114,NA,-0.0487
1,-0.172,-0.0334,0.539,0.469,0.612,-1.24,-1.21,0.017,0.268,-0.676,-1.21,0.0384,0.251,NA,1.71,NA
1,-0.25,-0.215,0.174,0.161,NA,-0.296,-0.343,-0.665,-0.168,-0.569,-0.897,1.01,-0.104,NA,0.631,0.923
1,-0.0369,-0.236,-0.465,-0.394,-0.175,0.492,0.547,-0.943,-1.92,-1.46,-1.12,-0.894,1.29,-1.05,-0.362,1.72
1,-0.0344,-0.0756,0.638,0.545,-0.0993,-0.833,-0.835,-0.65,-0.528,-0.0829,-0.976,0.529,-0.437,-0.712,-0.37,NA
1,-0.116,-0.000321,0.789,0.684,0.363,-1.08,-1.05,0.153,-0.219,0.257,-1.22,0.0422,-0.179,NA,NA,1.4
1,-0.2,-0.199,0.843,0.744,-1.33,-0.907,-0.88,0.122,-1.61,1.16,-1.07,-0.836,0.435,-0.151,0.211,NA
1,0.00511,0.0834,0.655,0.574,0.178,-0.977,-0.958,NA,0.301,0.408,-0.723,0.146,-0.331,1.5,1.26,-0.177
1,-0.111,-0.136,0.889,0.765,-0.172,-1.19,-1.13,0.852,-0.397,0.156,-0.964,-0.534,0.33,0.531,0.581,-0.602
1,-0.196,-0.105,0.855,0.748,-0.146,-1.39,-1.38,0.685,-0.302,1.1,-1.27,0.143,0.159,0.386,0.819,2.08
1,0.0885,0.0138,1.3,1.12,-1.33,-1.85,-1.82,-1.59,-1.92,1.33,-1.09,0.0695,-0.264,-1.67,-3.22,2.92
1,0.0481,0.107,0.666,0.577,0.268,-1.14,-1.1,-0.016,-0.371,-0.0927,-0.592,0.215,0.122,-0.142,0.149,0.0594
1,-0.264,-0.132,0.437,0.397,-0.488,-1.07,-1.14,0.563,-1.25,-0.0396,-0.983,-0.751,0.985,NA,0.225,0.837
1,0.0724,0.0816,1.3,1.12,0.165,-1.98,-1.9,-0.885,-0.595,-1.1,-1.28,0.00528,-0.264,-0.996,-0.52,2.79
1,-0.102,0.0259,0.718,0.611,NA,-0.185,-0.125,0.221,2.08,-0.385,-0.902,-0.351,0.56,0.173,2.74,-0.035
1,-0.274,-0.268,0.208,0.2,0.0564,-0.294,-0.281,NA,-0.447,0.00161,-1.02,0.393,0.545,-0.693,-1.49,1.58
1,0.0136,0.00292,0.896,0.775,-1.94,-1.53,-1.47,NA,-0.525,1.24,-1.01,0.353,-0.0304,NA,-4.82,NA
1,-0.0107,0.073,0.413,0.367,0.252,-0.684,-0.659,0.112,0.507,1.75,-0.592,0.0735,-0.615,0.0956,NA,0.311
1,0.11,0.203,1.1,0.943,0.552,-1.66,-1.62,NA,-0.761,-0.121,-1.02,0.159,-0.539,NA,-0.692,1.32
1,0.0319,0.181,1.04,0.901,NA,-1.56,-1.52,-0.148,-0.732,0.962,-0.991,0.172,-0.53,-0.314,NA,0.572
1,0.0319,0.152,0.609,0.528,0.512,-0.48,-0.455,0.119,-0.432,-0.204,-0.844,0.0827,-0.381,0.0501,0.0228,0.274
1,0.107,0.26,0.78,0.665,0.793,-1.46,-1.43,-0.138,0.305,-0.544,0.387,-0.263,-0.428,NA,1.08,-0.215
1,-0.101,-0.304,-0.443,-0.366,-0.222,0.413,0.467,-0.859,-1.92,-1.34,-1.05,-0.951,1.04,NA,-0.522,1.66
1,-0.256,-1.11,0.212,0.18,-1.55,0.155,0.138,0.076,-1.38,0.0466,-1.1,1.42,1.04,-0.14,-0.411,NA
1,-0.0441,0.0664,0.224,0.203,0.226,-0.845,-0.833,1.14,-0.0893,-0.721,-0.966,0.109,-0.379,0.936,0.738,0.196
1,0.0316,-0.0703,0.912,0.806,-2.3,-0.947,-1.01,-1.78,-1.82,0.237,-1.01,0.437,0.189,-1.84,-1.43,1.45
1,-0.0937,-0.21,0.544,0.494,0.199,-1.01,-1.02,NA,0.256,-0.267,-0.76,-0.365,0.751,-0.364,-0.213,1.82
1,-0.25,-0.857,0.698,0.604,-3.3,-1.3,-1.25,-1.35,-1.97,0.268,-1.31,-0.167,0.56,NA,-1.98,1.52
1,-0.111,-0.139,0.884,0.769,0.0846,-1.44,-1.41,-0.678,-0.356,-0.16,-1.34,-0.149,0.45,-0.83,NA,2.47
1,-0.288,-0.536,0.48,0.413,-0.519,-0.653,-0.632,-1.54,-0.55,-0.693,-1.3,-0.904,0.991,-1.62,-2.55,NA
1,0.153,0.176,0.525,0.463,0.0961,-0.831,-0.844,-0.608,0.143,-0.25,1.49,0.168,-0.526,-0.452,-0.438,0.517
1,-0.344,-0.842,0.649,0.565,-3.77,-0.904,-0.873,-1.81,-1.92,4.09,-1.36,0.366,0.0551,-1.88,NA,2.9
1,0.00132,0.0204,0.925,0.802,0.0495,-1.17,-1.15,0.236,-0.26,0.082,-0.913,-0.144,-0.115,0.043,-0.23,0.775
1,0.135,0.197,1.14,0.976,0.729,-1.79,-1.76,-0.662,-0.496,0.957,-0.817,-0.0573,-0.405,NA,-0.785,NA
1,-0.0697,-0.0113,0.537,0.465,0.639,-0.89,-0.873,-0.841,-0.0406,-0.815,-1.28,-0.029,0.0104,-0.847,-0.317,1.4
1,-0.0129,0.128,-0.259,-0.223,0.624,-0.0595,-0.0267,-0.0879,-0.258,-0.367,-0.71,-0.12,0.109,-0.0746,0.319,0.488
1,-0.229,-0.501,0.208,0.16,-1.5,-0.244,-0.193,-0.833,-1.61,1.14,-1.09,-0.317,0.82,-1,NA,2.37
1,-0.152,-0.13,0.363,0.32,NA,-0.435,-0.395,-1.5,-1.71,3.59,-1.36,-0.165,0.275,-1.6,-1.38,-0.539
1,0.139,0.142,1.2,1.03,0.317,-1.78,-1.72,-0.614,-0.374,-0.473,-1.14,-0.375,-0.31,-0.702,-0.728,0.697
1,0.116,0.204,0.474,0.401,0.406,-0.799,-0.706,1.12,-0.361,1.21,0.45,-0.29,-0.526,0.88,0.211,-0.67
1,0.0556,-0.0609,0.959,0.822,NA,-1.45,-1.39,-1.25,-0.982,-1.21,-1.34,-0.0962,0.0482,-1.34,-1.9,NA
1,-0.0656,-0.0467,0.88,0.763,NA,-1.13,-1.1,NA,0.0274,0.478,-0.996,0.021,0.0771,NA,0.195,NA
1,-0.0164,-0.211,1.06,0.917,-0.609,-1.79,-1.77,-1.24,-1.13,1.36,-1.28,-0.164,-0.0164,-1.36,-2.84,2.88
1,-0.302,-0.225,0.491,0.442,-0.556,-0.138,-0.229,-0.635,-0.829,0.128,-0.68,-0.0611,0.218,-0.749,NA,-0.456
1,-0.116,-0.101,0.933,0.811,-3.49,-1.55,-1.52,-1.16,-1.89,0.409,-1.33,-0.749,0.668,-1.31,-1.28,0.0508
1,0.14,-0.612,0.744,0.636,-3.15,-0.876,-0.818,-0.858,-1.88,2.44,-1.36,0.0461,-0.114,-1.04,-1.14,0.0247
1,-0.0915,0.0629,0.807,0.694,0.403,-0.988,-1.02,0.63,0.0315,-0.78,-0.197,-0.222,0.0809,0.511,1.04,-0.719
1,0.000375,-0.0212,1.15,0.996,-0.0167,-2.39,-2.33,-0.526,-0.433,-0.179,-1.29,0.276,-0.0752,-0.656,-0.224,2.46
1,-0.0363,0.0727,0.976,0.84,0.0861,-1.75,-1.7,1.29,-0.28,1.33,-1.06,-0.28,-0.24,0.908,0.95,0.00722
1,-0.0991,0.174,0.881,0.737,0.697,-1.13,-1.09,-0.512,0.903,0.261,1.08,-0.116,-0.0416,-0.549,-0.336,0.165
1,0.0225,-0.0721,0.654,0.573,0.447,-1.05,-1.02,-0.761,0.502,-0.375,-1.13,-0.068,0.112,NA,0.101,1.66
1,-0.53,-0.0144,-0.301,-0.27,0.487,0.285,0.297,-0.459,2.04,-0.779,1.39,0.238,-0.0504,-0.0573,0.275,-0.127
1,-0.0817,-0.0109,0.298,0.265,NA,-0.459,-0.438,-0.275,0.23,-0.21,-1.18,-0.267,0.0711,NA,NA,0.79
1,-0.0107,0.116,-0.105,-0.0912,0.148,-0.773,-0.764,-1.02,-0.417,-0.372,-1.08,0.149,0.566,-1.04,NA,NA
1,0.0619,0.0808,0.742,0.644,0.329,-1.33,-1.3,NA,-0.281,0.00877,-0.976,-0.197,-0.403,-1.12,-1.95,NA
1,-0.0805,0.08,0.112,0.108,0.0983,-0.204,-0.273,0.141,-0.288,1.07,-0.595,0.396,-0.232,0.0943,-0.243,0.0926
1,-0.26,-0.312,0.534,0.466,-1.24,-0.476,-0.534,NA,-1.41,-0.696,-1.22,0.0072,0.318,-1.21,-1.81,1.98
1,0.0815,0.153,-0.106,-0.0866,1,-0.296,-0.239,-0.923,-0.0934,-0.712,-0.829,0.519,-0.549,-0.875,-0.459,0.54
1,0.116,0.0597,0.894,0.764,0.0957,-1.03,-1.01,-0.962,-0.204,0.121,-0.925,0.132,-0.0627,-1.04,NA,1.15
1,0.0253,0.163,0.931,0.808,0.665,-1.58,-1.54,-0.61,-0.437,-0.513,-0.858,-0.0527,-0.752,-0.654,NA,0.427
1,0.0282,-0.0584,1.07,0.915,0.274,-1.52,-1.47,-0.886,-0.394,-0.242,-1.14,0.385,0.0105,-0.987,-0.47,2.12
1,-0.034,0.0492,0.99,0.857,0.475,-1.78,-1.73,0.0139,-0.0192,-0.39,-1.23,-0.282,-0.055,-0.162,0.564,0.475
1,-0.0104,-0.0475,1.01,0.877,0.318,-1.47,-1.45,NA,-0.368,-1.06,-1.34,-0.175,0.108,-0.952,-0.565,1.86
1,-0.0959,-0.0318,-0.212,-0.165,0.151,0.257,0.153,1.06,-0.266,-0.605,-0.468,-0.655,0.136,1.14,NA,0.228
1,-0.373,-0.137,-0.0224,-0.00412,NA,-0.493,-0.466,-1.55,1.97,0.616,-0.0517,0.759,-0.678,NA,-0.0194,-0.00654
1,-0.0154,0.185,0.368,0.311,0.706,0.0995,0.0752,-0.37,0.125,-0.535,-0.438,-0.198,-0.286,-0.33,-0.455,0.0287
1,-0.0959,-0.0318,-0.212,-0.165,0.151,0.257,0.153,1.06,-0.266,-0.605,-0.468,-0.655,0.136,1.14,0.451,0.228
1,-0.217,-0.0424,0.381,0.349,0.45,-0.934,-0.974,-0.536,0.751,-1.32,-0.685,0.367,0.754,NA,0.834,0.525
1,-0.0732,-0.238,0.537,0.471,-2.8,-0.542,-0.541,-0.611,-1.86,2.72,-1.37,0.163,-0.226,-0.824,NA,2.61
1,0.116,0.216,0.735,0.607,NA,-1.07,-0.926,-0.968,0.431,-0.0166,1.38,-0.3,-0.273,-0.827,-0.5,0.902
1,0.113,0.216,0.617,0.527,0.477,-0.53,-0.598,0.169,0.618,-0.165,0.797,-0.409,-0.337,0.323,0.209,-0.00732
1,0.0667,0.156,0.934,0.805,0.85,-1.57,-1.54,-0.644,-0.431,-0.456,-0.876,0.222,-0.669,-0.729,NA,NA
1,0.0127,0.101,1.05,0.907,0.746,-1.69,-1.64,NA,-0.595,-1.14,-1.38,-0.265,-0.198,-0.522,0.0742,1.06
1,-0.161,-0.0497,0.448,0.396,-0.0273,-0.689,-0.716,0.384,-0.42,0.864,-1.14,0.168,-0.143,NA,-0.606,0.21
1,0.136,0.172,1.12,0.961,0.674,-1.89,-1.84,-0.327,-0.102,0.859,-0.981,-0.155,-0.489,-0.443,-0.273,0.65
1,-0.298,-1.95,1.04,0.888,-3.57,-1.43,-1.37,0.371,-2,2.82,-1.36,-0.416,0.164,0.0241,-0.297,NA
1,0.0282,0.044,1.23,1.06,0.268,-1.94,-1.87,0.498,-0.326,-0.478,-1.35,-0.00822,-0.371,0.198,1.68,0.981
1,0.0367,0.151,-0.44,-0.369,0.371,0.496,0.524,1.24,0.374,-0.113,1.03,0.239,-0.18,NA,NA,-0.862
1,0.0588,0.0651,0.116,0.0927,0.392,-0.359,-0.326,1.38,-0.398,1.13,-0.803,-0.217,-0.686,1.04,0.833,-0.0132
1,-0.0473,0.0714,0.514,0.461,0.286,-0.381,-0.381,1.49,0.0485,-0.24,-0.711,0.767,0.0536,1.15,NA,NA
1,-0.344,-0.981,1.07,0.905,-3.57,-1.47,-1.41,0.777,-2.01,3.02,-1.34,-0.198,0.0731,0.398,-0.359,NA
1,0.031,-0.0898,0.934,0.808,-0.158,-1.46,-1.42,0.0318,0.165,-0.266,-1.17,-0.0599,0.37,-0.143,0.258,1.07
1,-0.153,-0.193,0.65,0.576,-0.00942,-1.23,-1.22,-0.68,0.427,-0.0157,-0.387,-1.54,1.29,-0.728,-0.868,0.341
1,0.0515,0.154,1.19,1.03,0.603,-1.84,-1.8,0.437,-0.362,0.364,-1.09,-0.148,-0.426,0.207,0.822,0.047
1,0.116,0.093,1.16,0.997,0.102,-1.8,-1.71,NA,-0.255,0.374,-0.443,0.148,-0.283,-0.634,-0.867,1.17
1,0.139,0.235,0.897,0.77,0.931,-1.44,-1.41,-0.0621,0.113,1.02,-0.598,-0.127,-0.634,NA,-0.039,-0.043
1,-0.192,-0.273,0.603,0.537,-0.976,-0.805,-0.804,0.29,-1.7,-0.418,-1.28,0.48,-0.322,-0.0175,-0.411,0.223
1,0.141,0.017,0.453,0.415,0.364,-0.0435,-0.0634,-0.162,-0.0257,0.0575,-0.215,0.405,-0.711,-0.29,-0.558,0.164
1,-0.149,0.00521,0.48,0.44,0.476,-0.191,-0.277,0.289,0.606,-0.188,-0.494,0.592,0.105,0.378,0.77,0.159
1,0.149,0.0197,0.361,0.318,0.386,-0.241,-0.243,1.38,0.0808,-0.0766,-0.981,0.0425,-0.116,1.04,0.0606,0.722
1,0.00574,0.0296,0.515,0.444,0.531,-0.632,-0.623,-0.869,-0.157,0.0403,-1.03,0.309,0.124,-0.899,-0.62,1.33
1,-0.0404,-0.124,0.833,0.725,-0.578,-1.15,-1.12,-0.0773,-1.86,0.836,-1.01,0.764,-0.569,-0.334,-0.706,0.618
1,-0.115,-0.116,0.515,0.453,0.293,-0.314,-0.311,0.458,-0.253,0.0991,-1.26,0.0492,-0.0795,0.158,-0.129,0.118
1,-0.0129,0.0496,0.965,0.827,-0.0478,-1.58,-1.58,0.925,0.0073,-0.391,-0.307,1.11,-0.52,0.616,0.241,-0.514
1,0.0354,0.103,0.467,0.413,0.457,-1.17,-1.17,NA,0.0399,0.115,-0.959,0.0578,-0.313,-0.184,0.0169,0.65
1,0.0702,0.0342,1.32,1.14,0.0108,-1.89,-1.86,-1.53,-0.915,0.167,-1.2,0.239,-0.595,NA,-2.87,NA
1,-0.089,-0.0593,1.1,0.961,-0.757,-1.5,-1.6,NA,-0.606,-0.545,-0.12,-1.74,1.13,1.11,0.942,-1.2
1,0.0913,0.145,1.07,0.926,0.648,-1.71,-1.68,0.174,0.0278,-0.723,-0.604,0.0869,-0.5,0.0928,0.222,NA
1,-0.105,0.0306,0.723,0.63,0.66,-1.16,-1.14,NA,1.76,-0.394,-0.863,0.141,0.199,0.221,1.33,1.11
1,0.00953,0.162,0.805,0.695,0.476,-1.09,-1.09,-0.248,-0.0715,-0.5,-0.471,-0.929,0.318,NA,0.293,-0.147
1,0.0755,0.155,-0.358,-0.307,-0.0274,0.77,0.875,2.71,2.52,-0.884,1.8,-0.364,-0.0711,2.74,1.09,NA
1,-0.0378,0.0599,0.396,0.356,0.301,-0.469,-0.443,-0.919,1.16,-0.95,-0.354,0.568,-0.113,-0.863,-0.104,0.677
1,-0.0104,0.0543,0.867,0.744,0.243,-1.14,-1.11,0.182,-0.176,1.38,-1.01,-0.0445,-0.332,NA,-0.0586,NA
1,0.142,0.0625,-0.396,-0.333,0.352,0.0509,0.076,3.1,-0.197,-0.0047,-1.21,0.408,-0.181,NA,1.58,-0.187
1,0.0212,0.0952,1.13,0.98,0.323,-1.98,-1.93,-0.625,-0.473,0.539,-1.04,-0.378,-0.335,-0.735,-0.897,NA
1,-0.207,-0.128,0.183,0.171,0.242,-0.525,-0.523,-0.426,-0.377,0.102,-1.17,-1.12,0.891,-0.559,-0.623,1.25
1,0.0578,-0.0945,1.01,0.871,-1.47,-1.82,-1.76,-1.62,-1.58,-0.38,-1.26,0.791,0.218,-1.69,-2.17,3.97
1,-0.0309,0.185,-0.14,-0.121,0.795,-0.611,-0.647,-0.439,0.167,-1.71,-0.723,0.409,-0.748,-0.317,0.0142,0.0104
1,0.0386,0.0765,0.604,0.519,0.483,-0.863,-0.81,-0.137,-0.261,0.366,-0.427,-0.0856,-0.0506,-0.212,-0.133,0.715
1,0.000375,0.12,1.02,0.887,0.506,-1.43,-1.37,-0.211,-0.25,-0.871,-0.391,0.277,-0.253,-0.332,NA,NA
1,0.0177,0.205,0.14,0.116,NA,-0.75,-0.726,NA,0.863,-0.285,-0.025,-0.144,-0.692,0.00341,0.907,-0.168
1,-0.0258,0.0289,0.606,0.516,0.47,-0.938,-0.906,-0.577,0.206,-1.08,-1.04,0.0559,0.144,-0.617,0.181,0.964
1,-0.00468,-0.239,0.81,0.699,-0.688,-0.892,-0.875,-0.444,-1.7,0.858,-1.22,-0.642,0.489,-0.644,-1.14,NA
1,-0.041,0.161,0.649,0.577,0.267,-0.679,-0.703,-0.908,-0.366,1.01,-1.2,-0.115,-0.0273,NA,-0.0671,0.792
1,-0.0902,-0.149,0.941,0.807,-0.546,-0.999,-0.964,-1.6,-1.12,-0.369,-1.24,-0.845,0.719,NA,-1.68,NA
1,-0.000257,0.176,0.767,0.684,0.173,-1.19,-1.32,NA,0.454,-0.246,1.23,0.0711,-0.159,NA,0.201,-0.135
1,0.00953,-0.12,1.25,1.08,-0.243,-1.86,-1.81,-0.817,-1.26,1.22,-1.26,-0.183,-0.271,-0.987,NA,2.26
1,-0.04,-0.298,-0.51,-0.425,-0.711,0.847,0.811,1.05,-0.321,-0.14,-1.24,-0.112,0.722,NA,-0.22,0.0428
1,-0.127,-0.17,0.187,0.171,0.111,-0.289,-0.273,-1.07,-0.204,0.227,-0.893,-0.216,0.535,-1.08,-1.02,2.25
1,-0.0571,0.03,0.983,0.856,-0.646,-1.58,-1.54,-1.9,0.583,1.27,-0.987,-0.158,-0.521,-1.95,0.487,4.76
1,0.0231,0.15,1.02,0.886,0.381,-1.68,-1.66,0.516,1.34,-1.1,-0.285,-0.332,-0.562,0.73,NA,0.218
0,0.129,-0.216,0.288,0.237,-3.01,-0.993,-0.955,0.186,-1.62,3.89,-1.15,0.162,0.0996,-0.131,-0.95,-1.19
0,0.0989,0.116,0.313,0.281,0.287,-0.188,-0.279,0.219,0.173,0.359,0.449,-0.49,0.241,0.448,-0.181,-0.0181
0,0.0215,0.159,0.579,0.502,0.675,-0.342,-0.274,-0.363,-0.172,-1.21,-0.515,0.976,-0.0123,-0.18,0.41,0.0702
0,-0.217,-0.357,-0.0539,-0.0688,NA,0.445,0.638,-0.745,0.436,0.0403,-0.554,-0.77,1.05,-0.826,-0.474,NA
0,-0.0846,0.0166,0.424,0.352,0.588,-0.259,-0.0947,-1.01,0.119,-0.08,-0.359,-0.303,0.533,-1.02,-0.209,0.719
0,0.0878,0.218,0.971,0.834,0.49,-1.41,-1.31,0.47,0.564,-0.846,0.409,0.233,-0.877,0.526,0.502,-0.48
0,0.171,0.27,0.763,0.656,0.995,-1.39,-1.35,NA,-0.129,-0.513,-0.4,-0.118,-0.787,0.269,0.453,-0.306
0,-0.582,-0.482,-0.896,-0.691,-0.687,0.952,0.808,-0.994,-0.541,1.29,-0.526,-1.22,1.49,-1.09,-2.06,NA
0,0.0269,0.0389,0.12,0.111,NA,0.0849,0.0973,-0.717,0.323,0.749,-0.088,-0.906,-0.0934,-0.734,0.329,-0.195
0,0.0196,0.204,-0.0681,-0.0546,0.674,-0.229,-0.214,-0.231,-0.185,-0.58,-0.442,-0.51,-0.0716,-0.19,0.031,-0.0469
0,-0.0868,0.0703,-0.659,-0.519,0.534,1.1,0.973,0.0716,0.168,0.765,-0.866,-0.788,1.01,NA,0.562,NA
0,-0.121,0.018,0.328,0.304,NA,0.0592,-0.117,-0.366,-0.169,0.798,0.338,-0.069,0.0848,-0.408,-0.488,1.2
0,0.0837,0.131,0.319,0.266,0.356,-0.523,-0.558,0.789,0.671,0.447,0.13,-0.0607,-0.192,0.814,0.734,-0.796
0,-0.114,0.107,0.418,0.401,0.376,-0.0924,-0.226,2.25,0.597,-0.0764,0.0581,-0.0237,-0.319,2.13,1.51,-0.76
0,-0.163,-0.0912,-0.943,-0.794,0.693,0.941,1.01,-0.325,0.584,-0.273,0.623,0.635,0.116,-0.207,0.33,NA
0,-0.124,0.168,-0.263,-0.211,0.475,0.411,0.401,0.523,0.0425,0.672,0.207,-0.0911,-0.141,0.659,NA,0.0442
0,-0.211,-0.0214,-0.612,-0.5,0.239,0.4,0.361,0.756,-0.209,0.232,-1.01,0.175,0.111,0.484,-0.363,0.224
0,-0.14,-0.252,-0.364,-0.284,-0.502,1.67,1.46,NA,-0.48,0.176,-0.606,-0.748,1.38,NA,-0.947,0.515
0,0.0496,0.168,0.108,0.0927,0.75,-0.0966,-0.115,-1.34,-0.00853,0.365,-0.814,0.245,-0.04,NA,-0.344,0.819
0,0.0386,0.204,0.327,0.282,0.369,-0.153,-0.149,-0.185,0.852,-1.41,0.896,-0.0312,-0.574,0.186,0.635,-0.15
0,-0.321,0.0143,-1.3,-1.09,0.345,2.49,2.26,-0.33,0.685,-0.883,0.731,1.54,0.37,0.0899,NA,0.53
0,-0.61,-0.058,0.209,0.171,0.0946,3.47,3.48,2.54,2.29,-0.687,-0.126,-0.0724,0.657,2.65,2.07,-0.975
0,-0.0925,-0.038,-1.29,-1.08,0.295,2.6,2.76,0.463,0.82,0.496,0.544,0.322,0.0621,0.618,0.921,-0.338
0,-0.0975,0.13,-0.531,-0.415,0.105,-0.0454,-0.0512,NA,0.202,-0.876,1.41,0.106,0.091,1.7,0.639,-0.528
0,-0.0239,-0.121,-0.595,-0.467,-0.463,0.642,0.578,0.608,-0.892,1.79,-1.16,-0.0883,0.141,0.332,-0.0862,0.521
0,0.0566,0.186,0.126,0.108,0.501,-0.29,-0.292,1.39,1.94,-1.56,0.141,-0.167,-0.0864,1.41,NA,-0.691
0,-0.011,0.0103,0.338,0.294,NA,-0.309,-0.228,-0.181,0.693,0.492,0.291,-0.0903,0.251,-0.269,-0.668,0.509
0,0.0114,0.0952,0.802,0.68,0.316,-0.344,-0.341,-0.523,0.298,-0.637,0.721,0.102,0.0637,-0.407,-1.17,-0.225
0,0.0544,0.0132,0.0422,0.0463,-0.166,0.51,0.515,NA,-0.869,1.21,-0.832,-0.789,0.253,0.736,0.21,-0.582
